20230308 230100;12370.75;12372;12368.25;12372;16
20230308 230200;12369;12370.5;12368.25;12368.25;6
20230308 230300;12368.25;12369.5;12367.75;12367.75;10
20230308 230400;12369.5;12369.75;12369.5;12369.75;2
20230308 230600;12371.5;12371.5;12369.75;12369.75;5
20230308 230700;12370.25;12371.75;12370.25;12371.75;2
20230308 230900;12369.75;12369.75;12369.75;12369.75;1
20230308 231000;12367.5;12368;12365.25;12366.5;15
20230308 231300;12365;12366.25;12365;12366.25;4
20230308 231400;12367;12369.25;12366.5;12369.25;11
20230308 231500;12368.25;12368.25;12367;12368;6
20230308 231600;12368.25;12368.25;12367.25;12367.75;24
20230308 231700;12368;12368;12367.75;12367.75;4
20230308 231900;12367.75;12367.75;12367.75;12367.75;1
20230308 232000;12368.75;12370.25;12368.25;12370.25;14
20230308 232100;12370.5;12370.5;12368.25;12368.25;4
20230308 232200;12367;12367;12366;12366;10
20230308 232400;12367.5;12367.5;12367.5;12367.5;1
20230308 232500;12365.5;12365.5;12365.5;12365.5;3
20230308 232600;12366;12366;12366;12366;1
20230308 232800;12365.75;12366.25;12365.75;12366.25;2
20230308 232900;12366.25;12367.75;12365.75;12367;6
20230308 233000;12367.75;12368.75;12367.75;12368.75;2
20230308 233100;12369.5;12375.25;12369;12373;34
20230308 233200;12373;12373;12373;12373;1
20230308 233500;12372.75;12372.75;12372.75;12372.75;2
20230308 233600;12373;12373;12372;12372;6
20230308 233700;12372.5;12372.5;12372.5;12372.5;1
20230308 233800;12370;12370;12370;12370;1
20230308 233900;12368.75;12369;12368.75;12369;3
20230308 234000;12368.5;12370.25;12368.5;12370.25;2
20230308 234100;12367.75;12367.75;12367.75;12367.75;1
20230308 234200;12368;12368;12368;12368;1
20230308 234300;12366.75;12368.25;12366.75;12368.25;5
20230308 234400;12368.5;12368.75;12368;12368;4
20230308 234500;12371;12371;12371;12371;1
20230308 234600;12370;12371.5;12367;12367;9
20230308 234700;12366.5;12367.75;12366.5;12367.25;3
20230308 234800;12371;12371.25;12371;12371.25;2
20230308 235000;12370.5;12371.25;12370.5;12371.25;3
20230308 235100;12368.75;12368.75;12365.75;12365.75;11
20230308 235200;12364.75;12366.5;12364.75;12366.5;5
20230308 235300;12365.75;12366.25;12364.25;12364.75;15
20230308 235400;12364.75;12364.75;12364.75;12364.75;1
20230308 235500;12364.75;12366;12364.75;12366;4
20230308 235600;12364.5;12364.5;12364.25;12364.25;2
20230308 235700;12364;12364;12364;12364;3
20230308 235800;12365;12365.75;12365;12365;4
20230308 235900;12365;12365;12365;12365;8
20230309 000000;12365.25;12365.25;12364.75;12364.75;4
20230309 000100;12364;12364.75;12362;12364.75;16
20230309 000200;12364.5;12364.5;12363.25;12363.5;8
20230309 000400;12364;12364.5;12363;12363;11
20230309 000500;12363.5;12366;12363.25;12366;9
20230309 000600;12365;12365;12361.75;12361.75;31
20230309 000700;12361.25;12362.25;12360.5;12362.25;7
20230309 000800;12365;12365;12365;12365;3
20230309 000900;12362;12362.75;12359.25;12360.5;34
20230309 001000;12360;12360;12358;12360;20
20230309 001100;12359.25;12359.5;12357.25;12358;16
20230309 001200;12357.25;12358.5;12357.25;12357.25;8
20230309 001300;12358;12358.25;12357.75;12357.75;23
20230309 001500;12357.25;12357.25;12357.25;12357.25;2
20230309 001600;12360;12360.75;12359.75;12360;5
20230309 001700;12359;12360;12359;12359;7
20230309 001800;12358.25;12359;12358.25;12359;2
20230309 001900;12358;12358;12357.75;12357.75;5
20230309 002000;12357.75;12360.5;12357.75;12360.5;8
20230309 002100;12359;12359;12357.75;12358.5;4
20230309 002200;12356.5;12357.25;12356.5;12357;10
20230309 002300;12357;12358.75;12356.75;12358.75;10
20230309 002400;12358.75;12358.75;12358;12358;4
20230309 002600;12358.75;12358.75;12358.75;12358.75;2
20230309 002700;12358;12358;12357.75;12357.75;7
20230309 002800;12359;12359;12355.5;12355.5;8
20230309 002900;12355.75;12356.75;12355.75;12356.75;7
