20220904 183600;12200;12200;12200;12200;4
20220904 220100;12188.5;12200;12179;12192.5;7
20220904 220200;12175;12175;12167;12167;5
20220904 220300;12163;12165.5;12161;12165.5;5
20220904 220400;12164.25;12169.5;12164.25;12169.5;8
20220904 220500;12167;12167;12160;12160;10
20220904 220600;12156.75;12156.75;12148.25;12150;12
20220904 220700;12135.75;12145.75;12133.25;12145.75;33
20220904 220800;12147.5;12150.5;12135.25;12138;12
20220904 220900;12139;12140.75;12137.75;12137.75;3
20220904 221000;12135;12138.5;12135;12138.5;3
20220904 221100;12136.5;12144.75;12136.5;12144;7
20220904 221200;12144;12144;12141;12142.25;14
20220904 221300;12143;12146;12143;12146;8
20220904 221400;12145;12145;12145;12145;3
20220904 221500;12143.5;12143.5;12143.5;12143.5;2
20220904 221600;12140.75;12140.75;12128;12128;9
20220904 221700;12133;12133;12127.75;12127.75;15
20220904 221800;12127;12127.25;12126.75;12126.75;13
20220904 222000;12130;12130;12130;12130;1
20220904 222200;12136;12136;12136;12136;1
20220904 222300;12139.25;12139.25;12135.5;12135.5;14
20220904 222400;12135.5;12135.5;12131.75;12131.75;5
20220904 222500;12133.25;12134;12133.25;12134;2
20220904 222700;12135;12135;12132.5;12132.5;7
20220904 222800;12132.75;12133;12131.25;12131.25;9
20220904 223000;12133;12133.25;12133;12133.25;4
20220904 223100;12139.25;12140;12139.25;12139.25;140
20220904 223200;12145;12145;12144;12144;2
20220904 223300;12144.75;12145;12144.75;12145;4
20220904 223400;12145;12145;12140;12140;8
20220904 223600;12142.75;12145;12142.75;12145;4
20220904 223800;12145;12145;12145;12145;1
20220904 224100;12145.5;12145.5;12144;12144;4
20220904 224200;12145.25;12146.25;12145.25;12146.25;4
20220904 224300;12144.25;12145.75;12144.25;12145.75;7
20220904 224500;12143.25;12146.25;12142.5;12146.25;6
20220904 224600;12143;12143.75;12143;12143.75;3
20220904 224800;12140.25;12140.25;12140;12140;2
20220904 225000;12135.25;12135.25;12135.25;12135.25;1
20220904 225300;12138;12140;12138;12140;2
20220904 225600;12141;12141;12141;12141;9
20220904 225700;12139.75;12139.75;12139.75;12139.75;1
20220904 230100;12138.25;12138.25;12138.25;12138.25;1
20220904 230200;12142;12142;12140.5;12140.5;5
20220904 230300;12143.5;12143.5;12141;12141;4
20220904 230500;12145;12145;12143.5;12143.75;8
20220904 230900;12144.25;12144.25;12144.25;12144.25;1
20220904 231300;12146.25;12147.5;12146.25;12146.5;4
20220904 231700;12150;12150;12148.5;12148.5;2
20220904 231800;12149.5;12157.75;12149.5;12157;8
20220904 231900;12157;12159.25;12157;12157;11
20220904 232000;12156;12158;12152.75;12158;12
20220904 232100;12157;12161;12157;12159.5;7
20220904 232200;12162.5;12163.75;12162.5;12162.5;6
20220904 232300;12163.75;12166;12163.75;12166;2
20220904 232400;12168;12174.5;12167.5;12174.5;8
20220904 232500;12176;12176;12169.25;12172.5;6
20220904 232600;12176.75;12179.25;12176.75;12179.25;5
20220904 232700;12185.75;12185.75;12185.75;12185.75;3
20220904 232800;12186.5;12186.5;12186.5;12186.5;1
20220904 232900;12187.75;12189;12182;12183.5;18
20220904 233000;12185.5;12185.5;12185.5;12185.5;1
20220904 233100;12190;12190;12183.5;12183.5;5
20220904 233200;12184;12184;12184;12184;1
20220904 233300;12185;12185;12182.25;12182.25;2
20220904 233400;12187;12188.5;12182;12182.75;12
20220904 233500;12183.5;12183.5;12182;12182.25;11
20220904 233700;12181.5;12181.5;12181.5;12181.5;2
20220904 234100;12187.25;12187.25;12187.25;12187.25;2
20220904 234700;12185;12185;12185;12185;2
20220904 234800;12187;12187;12187;12187;2
20220904 234900;12185.5;12187.25;12185.5;12187.25;2
20220904 235000;12185.5;12185.5;12185.5;12185.5;1
20220904 235200;12194;12194;12194;12194;1
20220904 235300;12195.25;12195.25;12195.25;12195.25;2
20220904 235400;12197;12200;12196;12200;10
20220904 235500;12196;12199.5;12196;12199.5;20
20220904 235600;12196.75;12196.75;12196.75;12196.75;3
20220904 235700;12199;12200.5;12199;12200.25;3
20220905 000000;12194.5;12194.5;12194.5;12194.5;1
20220905 000100;12195.25;12200;12195.25;12200;5
20220905 000200;12199.5;12206.5;12199.5;12206.25;7
20220905 000400;12211.25;12216.25;12211.25;12216.25;8
20220905 000500;12215.25;12216;12215.25;12216;5
20220905 000600;12214;12214;12214;12214;1
20220905 000700;12219.25;12220.5;12217;12217;11
20220905 000800;12216.5;12216.5;12216;12216;2
20220905 000900;12211.5;12212.5;12211;12212.5;4
20220905 001000;12212.5;12214;12211.75;12214;6
20220905 001100;12211.5;12213.75;12211.5;12213.75;2
20220905 001200;12217.5;12217.5;12216.75;12216.75;2
20220905 001300;12220;12220;12220;12220;1
20220905 001400;12219.75;12219.75;12218.25;12218.25;2
20220905 001500;12219.5;12219.5;12219.5;12219.5;3
20220905 001600;12215;12217;12215;12217;29
20220905 001700;12215.25;12215.25;12213.5;12213.5;2
20220905 001800;12207.75;12207.75;12207.75;12207.75;1
20220905 001900;12206;12206.25;12206;12206.25;3
20220905 002000;12201.75;12203.75;12198.5;12200;29
20220905 002100;12202;12202;12195.5;12196;5
20220905 002200;12197.5;12200;12197.5;12200;3
20220905 002300;12196;12196;12196;12196;1
20220905 002400;12194.5;12194.75;12185.5;12186.75;20
20220905 002500;12185.75;12185.75;12185.75;12185.75;5
20220905 002600;12184.25;12186;12182.25;12186;3
20220905 002800;12184;12184;12184;12184;1
20220905 002900;12186.25;12186.25;12186.25;12186.25;1
20220905 003100;12180.75;12180.75;12180.75;12180.75;1
20220905 003200;12180;12180;12180;12180;2
20220905 003300;12180;12180;12178;12178;2
20220905 003500;12180;12180;12180;12180;1
20220905 003600;12177;12177;12177;12177;2
20220905 003700;12178.5;12178.5;12178;12178;2
20220905 003900;12176.75;12176.75;12176.75;12176.75;1
20220905 004000;12174.75;12174.75;12167;12170.5;6
20220905 004100;12165;12165;12158;12165;11
20220905 004200;12160.5;12164.25;12160.5;12164.25;3
20220905 004300;12169.25;12170;12169.25;12170;4
20220905 004400;12169.75;12169.75;12169.75;12169.75;1
20220905 004500;12168;12168;12166.75;12168;6
20220905 004600;12172.25;12172.25;12169;12171.5;3
20220905 004700;12177;12177;12177;12177;3
20220905 004800;12183;12188;12183;12183;3
20220905 004900;12183.25;12183.25;12183.25;12183.25;1
20220905 005200;12183.25;12183.25;12183.25;12183.25;1
20220905 005300;12183.25;12183.25;12183.25;12183.25;1
20220905 005400;12181;12181;12171.75;12171.75;6
20220905 005500;12173.75;12173.75;12170.75;12170.75;3
20220905 005700;12180.75;12180.75;12178;12178;2
20220905 005800;12183;12183;12183;12183;1
20220905 005900;12181.75;12181.75;12181.75;12181.75;1
20220905 010000;12183.5;12183.5;12183.5;12183.5;3
20220905 010100;12186;12189.5;12186;12189.5;5
