20240612 220100;19865.5;19865.5;19848;19851.25;42
20240612 220200;19852;19857.75;19849.75;19849.75;60
20240612 220300;19849.5;19851.25;19848;19848;19
20240612 220400;19850;19851.5;19849.75;19851.5;5
20240612 220500;19853;19854;19851.75;19852.5;10
20240612 220600;19851.75;19853.75;19851.5;19852;24
20240612 220700;19853;19853.25;19851.75;19852.5;9
20240612 220800;19852.5;19854;19852.5;19853;10
20240612 220900;19855;19855.5;19854.25;19855.5;17
20240612 221000;19855.25;19855.75;19853.5;19855.25;18
20240612 221100;19855.25;19857.25;19855;19857.25;9
20240612 221200;19856.5;19859;19850.75;19850.75;19
20240612 221300;19850;19855.75;19850;19855.75;9
20240612 221400;19855.5;19856.5;19855.5;19855.5;8
20240612 221500;19855.75;19858.25;19855.75;19856.75;33
20240612 221600;19856.75;19856.75;19855.25;19855.25;4
20240612 221700;19852.5;19852.75;19848.5;19848.5;17
20240612 221800;19848.5;19853.25;19848.5;19852.5;16
20240612 221900;19851.75;19853.75;19851.75;19853.75;2
20240612 222100;19854;19856.5;19854;19856.5;7
20240612 222200;19857;19858.25;19855.5;19858.25;9
20240612 222300;19857.5;19857.5;19856;19856.25;9
20240612 222400;19856.75;19858;19856.75;19858;10
20240612 222500;19856.75;19857.5;19856;19857.5;13
20240612 222600;19857.5;19857.75;19855;19855;17
20240612 222700;19855.75;19856.5;19855.5;19856.5;22
20240612 222800;19857;19858.25;19856.25;19858.25;8
20240612 222900;19859.25;19859.5;19858;19858;3
20240612 223000;19858;19858;19855.25;19855.5;30
20240612 223100;19855.75;19856;19855.25;19856;9
20240612 223200;19856.5;19857.25;19856.5;19857.25;4
20240612 223300;19855.75;19855.75;19855.25;19855.25;2
20240612 223400;19855.75;19855.75;19855.75;19855.75;1
20240612 223600;19856.75;19857.25;19856.5;19856.5;5
20240612 223700;19856;19856;19856;19856;3
20240612 223800;19856;19856;19856;19856;4
20240612 223900;19856;19856.5;19856;19856.5;3
20240612 224000;19856.5;19856.75;19854;19854;10
20240612 224100;19854;19854;19853.25;19853.25;8
20240612 224200;19853.25;19853.25;19852.75;19852.75;8
20240612 224300;19852;19852;19851.25;19851.25;7
20240612 224400;19851.25;19851.5;19851;19851.5;16
20240612 224500;19851.25;19852.5;19851;19851.75;12
20240612 224600;19851.5;19851.75;19851.25;19851.75;10
20240612 224700;19851.75;19851.75;19850.5;19850.5;2
20240612 224800;19850.75;19852;19850.75;19852;6
20240612 224900;19851.75;19853.25;19851.75;19852.75;12
20240612 225000;19853.25;19853.25;19853.25;19853.25;2
20240612 225100;19852;19852.75;19852;19852.75;6
20240612 225200;19852.25;19852.75;19852.25;19852.75;2
20240612 225300;19852.75;19853.5;19852.75;19853;7
20240612 225400;19851.75;19851.75;19851.75;19851.75;2
20240612 225500;19852.75;19853;19852;19852;3
20240612 225600;19852.25;19852.5;19852.25;19852.5;7
20240612 225700;19852;19852;19852;19852;1
20240612 225800;19852;19852;19850.75;19851.5;38
20240612 225900;19851;19851.75;19850;19850;13
20240612 230000;19849.75;19849.75;19848.75;19849;20
20240612 230100;19849.75;19850;19849.75;19850;2
20240612 230200;19850.25;19850.5;19850.25;19850.5;6
20240612 230300;19849;19849.25;19848;19849;26
20240612 230400;19847.75;19848.5;19847.5;19848.5;13
20240612 230500;19848.25;19848.5;19847.25;19848;14
20240612 230600;19847.75;19848.25;19842.5;19843.75;47
20240612 230700;19843.25;19844.25;19843.25;19844.25;4
20240612 230800;19844.5;19845;19844.5;19845;4
20240612 230900;19846.25;19849.25;19845.75;19849;14
20240612 231000;19849.25;19849.25;19848.25;19848.25;3
20240612 231100;19850.75;19856.5;19850.75;19856.5;34
20240612 231200;19857;19858;19856;19856.75;22
20240612 231300;19856.75;19858.25;19856.75;19858;11
20240612 231400;19857.25;19857.75;19857;19857;6
20240612 231500;19857.5;19857.5;19856;19856;2
20240612 231600;19856.75;19857.25;19856.75;19856.75;8
20240612 231700;19855.25;19855.5;19855.25;19855.5;3
20240612 231800;19856;19856;19856;19856;1
20240612 231900;19856;19857.5;19856;19857.5;7
20240612 232000;19857.25;19857.75;19857.25;19857.75;7
20240612 232100;19858;19858.25;19856.25;19856.25;12
20240612 232200;19856.25;19856.25;19856;19856;3
20240612 232300;19856.5;19856.5;19856.5;19856.5;1
20240612 232400;19856.75;19857;19856.5;19856.5;9
20240612 232500;19856.75;19857.25;19856.5;19856.5;8
20240612 232600;19856.5;19856.5;19856.5;19856.5;1
20240612 232800;19855.5;19855.5;19854.75;19855.5;7
20240612 232900;19855.25;19855.25;19854.5;19854.5;8
20240612 233000;19854.25;19855;19854;19854.75;12
20240612 233100;19853.75;19853.75;19853.25;19853.5;4
20240612 233200;19852.75;19855.25;19852.75;19855.25;6
20240612 233300;19854.75;19856.25;19853.25;19855.5;18
20240612 233400;19855.5;19855.75;19855;19855.75;9
20240612 233500;19855.75;19856;19855.75;19856;2
20240612 233600;19855.25;19855.25;19854.75;19855.25;4
20240612 233900;19854.75;19854.75;19854.5;19854.5;2
20240612 234000;19854.75;19854.75;19854.75;19854.75;2
20240612 234100;19854;19855.25;19854;19855.25;3
20240612 234200;19855.25;19855.25;19854.25;19855.25;7
20240612 234300;19855.25;19855.25;19855;19855;2
20240612 234400;19855.25;19855.25;19853.75;19853.75;4
20240612 234500;19853.75;19855;19853.75;19855;8
20240612 234600;19855.5;19857.25;19855.5;19856;10
20240612 234700;19856.5;19857.25;19856;19857.25;12
20240612 234800;19857;19858;19856;19858;38
20240612 234900;19855.25;19855.5;19855.25;19855.5;2
20240612 235000;19855.75;19855.75;19855.75;19855.75;3
20240612 235100;19856.5;19857;19856;19857;6
20240612 235200;19857.25;19862.25;19857.25;19862.25;64
20240612 235300;19861;19863;19861;19861.75;47
20240612 235400;19860.5;19860.5;19857.5;19857.5;9
20240612 235500;19858;19858.25;19858;19858.25;2
20240612 235600;19858;19858;19856.75;19856.75;4
20240612 235700;19857.5;19857.75;19855.25;19855.75;12
20240612 235800;19857.25;19858;19857.25;19857.5;7
20240612 235900;19857;19859;19857;19859;7
20240613 000000;19859.25;19859.75;19859.25;19859.25;6
20240613 000100;19858.5;19862.25;19857.25;19862.25;25
20240613 000200;19862.25;19864.5;19861;19861;33
20240613 000300;19860;19860.75;19858.75;19860.75;19
20240613 000400;19861.25;19861.5;19860.5;19861.25;6
20240613 000500;19862.5;19864.25;19862.5;19864;6
20240613 000600;19864.25;19866;19864.25;19865.5;21
20240613 000700;19865.75;19868.75;19865.75;19868.25;19
20240613 000800;19867.5;19868;19865.75;19866.5;18
20240613 000900;19866.75;19867.25;19865.5;19867;11
20240613 001000;19867;19869.5;19867;19869;73
20240613 001100;19869;19872;19867.5;19869.5;87
20240613 001200;19868.5;19869.75;19867.5;19868;36
20240613 001300;19868.25;19868.25;19865.75;19867.25;22
20240613 001400;19867.25;19869;19867.25;19867.5;20
20240613 001500;19868;19868;19868;19868;3
20240613 001600;19866.5;19867;19865.75;19866.75;23
